Year,Region,Country,GDP,GDPGrowth,GDPPerCapitaGrowth,TotalPopulation,PopulationGrowth,WorkingPopulation
2016,Europe & Central Asia,United Kingdom,2.66E+12,1.789288659,1.065070975,65595565,0.714030265,42001358
2016,Europe & Central Asia,France,2.47E+12,1.095464394,0.692650644,66859768,0.399244807,41773667
2016,Europe & Central Asia,Italy,1.87E+12,1.118900618,1.290831526,60627498,-0.169884073,38609106
2016,Europe & Central Asia,Russian Federation,1.28E+12,0.329282332,0.145592471,144342396,0.170244546,99477057
2016,Latin America & Caribbean,Brazil,1.80E+12,-3.305454313,-4.098702255,206163058,0.823748232,143523297
2016,North America,United States,1.87E+13,1.56721517,0.835127873,323071342,0.7234012,213034184
2016,South Asia,India,2.29E+12,8.169526505,6.997009504,1324509589,1.08988008,874131931
2017,East Asia & Pacific,China,1.21E+13,6.757007611,6.161772004,1386395000,0.559121331,993792919
2017,East Asia & Pacific,Japan,4.86E+12,1.928757251,2.096551745,126785797,-0.164484036,76153398
2017,Europe & Central Asia,Germany,3.69E+12,2.15710947,1.776035789,82657002,0.37372456,54117054
2017,Europe & Central Asia,United Kingdom,2.64E+12,1.822927774,1.108807787,66058859,0.703806068,42126776
2017,Europe & Central Asia,France,2.59E+12,2.260202722,2.251980937,66865144,0.008040387,41588930
2017,Europe & Central Asia,Italy,1.95E+12,1.68418261,1.836681901,60536709,-0.149861117,38417340
2017,Europe & Central Asia,Russian Federation,1.58E+12,1.630195944,1.515174583,144496740,0.106871954,98570071
2017,Latin America & Caribbean,Brazil,2.05E+12,1.063861259,0.251410419,207833831,0.807147162,144861176
2017,North America,United States,1.95E+13,2.21701033,1.564444431,325147121,0.6404588,213535697
2017,South Asia,India,2.65E+12,7.167888861,6.035154528,1338658835,1.062597394,886571006
2018,East Asia & Pacific,China,1.36E+13,6.6,6.115117072,1392730000,0.455899679,991444061
2018,East Asia & Pacific,Japan,4.97E+12,0.787965413,0.992439865,126529100,-0.202670345,75517984
2018,Europe & Central Asia,Germany,4.00E+12,1.425303467,1.093953753,82927922,0.32722815,54117035
2018,Europe & Central Asia,United Kingdom,2.83E+12,1.397607592,0.741644025,66488991,0.649023745,42235882
2018,Europe & Central Asia,France,2.78E+12,1.724880628,1.539463119,66987244,0.182439829,41500627
2018,Europe & Central Asia,Italy,2.07E+12,0.858260216,1.034213504,60431283,-0.174304004,38223037
2018,Europe & Central Asia,Russian Federation,1.66E+12,2.254840053,2.261780504,144478050,-0.012935384,97617861
2018,Latin America & Caribbean,Brazil,1.87E+12,1.11757918,0.328069801,209469333,0.783847579,146134856
2018,North America,United States,2.05E+13,2.856992804,2.221833867,327167434,0.619431053,213870421
2018,South Asia,India,2.73E+12,6.982333556,5.87831683,1352617328,1.03732336,898526060
