Region,Homes Sold,Inventory,Median Dom(days on market),Median List Price,Months of Supply,New Listings,Sold Under List,Sold Above List
"Seattle, WA",1030,1578,15,450000,1.5,986,0.354245881,0.329126214
"Boston, MA",485,1043,9,697000,2.2,1077,0.217641419,0.507216495
"Washington, DC",634,1532,19,499500,2.4,645,0.281984334,0.3507109
"Boston, MA",443,904,9,609000,2,856,0.196902655,0.469525959
"Boston, MA",854,1869,71,440000,2.2,507,0.104333868,0.405152225
"Boston, MA",549,1302,87,409950,2.4,197,0.065284178,0.224043716
"San Diego, CA",1453,3372,23,518000,2.3,1709,0.297449585,0.189263593
"San Jose, CA",565,655,13,598000,1.2,760,0.126717557,0.647787611
"San Diego, CA",1567,2994,24,526900,1.9,1951,0.271877088,0.209317167
"Chicago, IL",3111,13155,62,214250,4.2,3383,0.243937666,0.236258438
"San Francisco, CA",456,506,17,999000,1.1,313,0.171936759,0.721491228
"Los Angeles, CA",2437,5880,22,539000,2.4,3416,0.254591837,0.382027082
"Los Angeles, CA",1783,5693,39,569000,3.2,2984,0.192341472,0.298373528
"San Jose, CA",785,539,35,699974.5,0.7,314,0.13729128,0.597452229
"Seattle, WA",1045,1496,8,440000,1.4,1415,0.277406417,0.440191388
"San Jose, CA",811,1253,15,669000,1.5,874,0.249002394,0.593094945
"Chicago, IL",2493,9810,67,174900,3.9,1985,0.152905199,0.285198556
"San Diego, CA",1145,1589,24,550000,1.4,717,0.174323474,0.256768559
"Seattle, WA",998,639,9,647000,0.6,706,0.3114241,0.502004008
"Washington, DC",782,1495,12,530000,1.9,1083,0.248829431,0.418158568
"San Diego, CA",1464,1954,25,385000,1.3,879,0.178607984,0.322624744
"Seattle, WA",1042,795,11,575000,0.8,626,0.298113208,0.404990403
"San Jose, CA",520,585,15,546944,1.1,647,0.145299145,0.6
"Washington, DC",959,1528,15,552450,1.6,1020,0.285994764,0.373305527
"Washington, DC",893,1554,12,549900,1.7,1057,0.273487773,0.404255319
"Chicago, IL",1973,15587,121,199900,7.9,4099,0.210303458,0.222616633
"San Jose, CA",698,779,14,849000,1.1,933,0.148908858,0.719197708
"San Francisco, CA",464,638,19,1098000,1.4,428,0.119122257,0.684665227
"San Jose, CA",851,1100,16,599000,1.3,779,0.26,0.573443008
"Seattle, WA",527,765,12,549000,1.5,772,0.17124183,0.434535104
"Chicago, IL",1856,14669,109,169000,7.9,2926,0.204512918,0.209051724
"Boston, MA",508,2171,62,499000,4.3,987,0.100414556,0.383858268
"Boston, MA",693,904,10,619450,1.3,470,0.246681416,0.461760462
"Washington, DC",540,1238,33,449000,2.3,635,0.233441034,0.248148148
"Seattle, WA",884,651,7,700000,0.7,1241,0.187403994,0.602040816
"San Diego, CA",1296,3901,28,479000,3,1622,0.33068444,0.177469136
"Los Angeles, CA",2290,7052,27,549900,3.1,3075,0.268009075,0.31790393
"Chicago, IL",2946,12978,68,240000,4.4,4366,0.150716597,0.307535642
"Washington, DC",660,1182,30,399277.5,1.8,355,0.164974619,0.263636364
"Boston, MA",737,922,10,519000,1.3,515,0.229934924,0.468113976
"Boston, MA",487,2429,65,449999.5,5,1045,0.088925484,0.369609856
"Seattle, WA",1117,1009,8,549950,0.9,1383,0.24975223,0.613799283
"Seattle, WA",920,877,8,549000,1,1262,0.169897377,0.553862894
"Seattle, WA",968,643,8,610943,0.7,1214,0.166407465,0.60910031
"Seattle, WA",878,1048,8,499000,1.2,1259,0.215648855,0.466970387
"Washington, DC",787,1693,16,499000,2.2,926,0.301831069,0.315521628
"Seattle, WA",1435,1046,8,550000,0.7,1383,0.26959847,0.536585366
"Chicago, IL",2327,9517,72,210000,4.1,1665,0.133235263,0.224752901
"San Diego, CA",1477,2692,24,545000,1.8,1459,0.316864785,0.214624238
"San Diego, CA",1396,3259,22,518150,2.3,1956,0.286590979,0.201289398
"San Diego, CA",1404,2016,15,589000,1.4,1788,0.229166667,0.316239316
"Boston, MA",496,1237,68,496900,2.5,229,0.109135004,0.278225806
"Seattle, WA",1243,1205,8,535000,1,1340,0.248962656,0.510466989
"Seattle, WA",643,505,7,695000,0.8,806,0.174257426,0.653125
"Chicago, IL",1960,15733,112,189900,8,3799,0.197991483,0.189892802
"Los Angeles, CA",2160,9525,60,349800,4.4,3393,0.223412073,0.276851852
"Los Angeles, CA",2524,7949,37,639450,3.1,3535,0.200905774,0.372820919
"Los Angeles, CA",2689,7689,32,619000,2.9,3685,0.213291715,0.402751952
"Boston, MA",448,2055,83,403750,4.6,581,0.145012165,0.189732143
"San Diego, CA",1543,2934,26,399000,1.9,1666,0.25528289,0.282284231
"Chicago, IL",2375,11689,60,284000,4.9,3162,0.240396954,0.255686605
"Chicago, IL",2847,12496,57,265000,4.4,4637,0.209106914,0.286266245
"San Diego, CA",1055,2633,29,525000,2.5,1080,0.229775921,0.169668246
"Boston, MA",770,966,8,575000,1.3,819,0.319875776,0.532467532
"Washington, DC",768,1438,19,479900,1.9,737,0.245479833,0.360677083
"Boston, MA",472,1053,13,619900,2.2,671,0.33048433,0.415254237
"Boston, MA",844,995,8,499000,1.2,653,0.24321608,0.481042654
"San Jose, CA",925,1327,20,799919,1.4,936,0.216277317,0.718918919
"Chicago, IL",2110,10070,85,249900,4.8,2887,0.143098312,0.215742058
"San Francisco, CA",527,776,18,739000,1.5,546,0.121134021,0.525616698
"Seattle, WA",527,1224,38,369000,2.3,723,0.212418301,0.244781784
"San Francisco, CA",472,811,30,1097000,1.7,434,0.150431566,0.625
"Seattle, WA",989,790,7,679000,0.8,1223,0.224050633,0.657229525
"Chicago, IL",2598,12332,65,249900,4.7,3087,0.211401233,0.247498075
"Boston, MA",578,1115,8,549900,1.9,973,0.22690583,0.515570934
"Washington, DC",708,1819,20,599000,2.6,1326,0.272677295,0.330508475
"San Francisco, CA",402,925,47,749000,2.3,563,0.161081081,0.373134328
"Los Angeles, CA",3145,7219,33,694799,2.3,3529,0.18492866,0.454516539
"Los Angeles, CA",2940,6495,23,585000,2.2,3596,0.246805235,0.391629806
"San Diego, CA",1417,3019,28,385000,2.1,1624,0.237164624,0.268877911
"Chicago, IL",2598,10706,73,179900,4.1,1855,0.148234635,0.210161663
"Los Angeles, CA",2465,6985,24,529500,2.8,3143,0.268718683,0.339285714
"Boston, MA",676,1025,9,625000,1.5,633,0.259512195,0.50739645
